SNP,x,y,panel
NC_035780.1_10487674,0.00470859616750841,-0.0236180193286016,CASE significant (all)
NC_035780.1_11145045,-0.0377422904408159,0.0244470125399194,CASE significant (all)
NC_035780.1_11153650,-0.0700739235997695,-0.0513218127341577,CASE significant (all)
NC_035780.1_11456907,0.0210869605697789,0.0443358818942559,CASE significant (all)
NC_035780.1_11460694,0.125521682851356,-0.0842818463575438,CASE significant (all)
NC_035780.1_11460721,0.205967172746903,-0.0661518470663035,CASE significant (all)
NC_035780.1_11460778,0.00810689041087843,-0.0783959331098518,CASE significant (all)
NC_035780.1_11542240,0.0582887038710955,0.046630190533024,CASE significant (all)
NC_035780.1_13060561,0.0833249291699926,0.0576363678168695,CASE significant (all)
NC_035780.1_13061426,0.0761102897441288,0.0512351773353899,CASE significant (all)
NC_035780.1_13164394,0.0429273396675287,0.0448299376589315,CASE significant (all)
NC_035780.1_14433594,0.157296122031752,0.0177314523000793,CASE significant (all)
NC_035780.1_14694387,-0.0016383237530609,-0.0143970115577038,CASE significant (all)
NC_035780.1_14698791,-0.0226925083256766,0.0105751370336252,CASE significant (all)
NC_035780.1_14698999,0.0637559082390715,0.0126781935195391,CASE significant (all)
NC_035780.1_15499443,-0.156326365041633,-0.047787370483286,CASE significant (all)
NC_035780.1_15610936,0.0508075107979176,0.112226835578848,CASE significant (all)
NC_035780.1_15720403,0.00270626979323995,0.0322725541824812,CASE significant (all)
NC_035780.1_16187099,0.0110010725627489,0.00625474337743261,CASE significant (all)
NC_035780.1_16504638,0.0122108995986925,-0.0296997768736899,CASE significant (all)
NC_035780.1_17658402,-0.0237846001247772,0.0394745996742014,CASE significant (all)
NC_035780.1_17667152,-0.0355320355766725,0.00966013829433673,CASE significant (all)
NC_035780.1_17667463,0.058925770705184,0.0877367408072198,CASE significant (all)
NC_035780.1_17667995,0.0339300347069113,0.034435256076352,CASE significant (all)
NC_035780.1_17684340,0.0534890442966711,0.0428587349980044,CASE significant (all)
NC_035780.1_17684422,0.0598473507060323,0.052996839666022,CASE significant (all)
NC_035780.1_17684430,0.0843899179447352,0.0999417948997781,CASE significant (all)
NC_035780.1_18447492,0.0887648903073854,0.0260345713874892,CASE significant (all)
NC_035780.1_1882217,0.0966576850118192,0.0943855803190842,CASE significant (all)
NC_035780.1_19319176,0.00704248001708813,-0.0201322010645298,CASE significant (all)
NC_035780.1_19376247,0.0475309497420638,0.0333747402490004,CASE significant (all)
NC_035780.1_19444900,0.0929157209535174,0.0759614382059079,CASE significant (all)
NC_035780.1_19595212,0.0144158531679898,0.0118292534123171,CASE significant (all)
NC_035780.1_19671795,0.115898764079076,0.105660390844399,CASE significant (all)
NC_035780.1_19793486,0.0481555430370756,0.100188137516819,CASE significant (all)
NC_035780.1_19946760,0.00262472596880536,0.0272939330181333,CASE significant (all)
NC_035780.1_19976031,0.0328236268248494,0.000166406642470039,CASE significant (all)
NC_035780.1_20467136,-0.0355015440623991,0.0494020109627607,CASE significant (all)
NC_035780.1_20636191,0.00495462590025207,0.0317529440328222,CASE significant (all)
NC_035780.1_20748489,-0.0335533017612117,-0.00870228365489535,CASE significant (all)
NC_035780.1_2173819,0.0549928783885663,0.0781799571334033,CASE significant (all)
NC_035780.1_2189775,0.140191633031772,0.075381937927622,CASE significant (all)
NC_035780.1_21952643,0.000336939799056504,0.023621321259817,CASE significant (all)
NC_035780.1_21953090,-0.0417953815728756,-0.0157518724197178,CASE significant (all)
NC_035780.1_21958832,-0.0200940176827583,0.0342224632993591,CASE significant (all)
NC_035780.1_22005285,0.0952723134355688,-0.000958394170363176,CASE significant (all)
NC_035780.1_22010323,-0.0320934868457475,0.0430707451181454,CASE significant (all)
NC_035780.1_22030105,0.182174283586149,0.129828520540099,CASE significant (all)
NC_035780.1_22276346,-0.0246284609798897,-0.0448091741910648,CASE significant (all)
NC_035780.1_22392376,0.00753061028999612,0.0476999851999852,CASE significant (all)
NC_035780.1_22398500,0.00358263950206171,0.0315589596876361,CASE significant (all)
NC_035780.1_22398531,0.044084357708836,0.0334066286629639,CASE significant (all)
NC_035780.1_23387720,0.183698447775459,0.0796183292856236,CASE significant (all)
NC_035780.1_23575652,0.0227386327544902,0.0661360588972546,CASE significant (all)
NC_035780.1_23818494,0.0855936111376286,0.0806093966832606,CASE significant (all)
NC_035780.1_24078909,0.0190650067819218,0.0807109092878072,CASE significant (all)
NC_035780.1_24078931,0.0118932874760058,0.0435526752782654,CASE significant (all)
NC_035780.1_24089934,0.0322697945177124,0.0258799975742766,CASE significant (all)
NC_035780.1_242942,-0.0231100709366173,-0.022463061573361,CASE significant (all)
NC_035780.1_24474445,0.0683885493777363,0.0809203532417818,CASE significant (all)
NC_035780.1_24474469,0.0701479778656397,0.0942042623747163,CASE significant (all)
NC_035780.1_24474513,0.0497074816148595,0.0764696052613503,CASE significant (all)
NC_035780.1_24494373,-0.0132983372006197,0.0402378613430949,CASE significant (all)
NC_035780.1_24637827,0.00595157757555457,0.00476278055416592,CASE significant (all)
NC_035780.1_24752700,0.0136481009662835,0.0064103152316555,CASE significant (all)
NC_035780.1_24756549,0.0105314210403046,0.0120044869042415,CASE significant (all)
NC_035780.1_24797292,-0.132040652543467,0.0284575915713938,CASE significant (all)
NC_035780.1_24807218,-0.0191903383008402,-0.0264522495225272,CASE significant (all)
NC_035780.1_24826351,0.0214122852738206,0.0651333781892527,CASE significant (all)
NC_035780.1_24826359,-0.0120646953059731,-0.0325791723112987,CASE significant (all)
NC_035780.1_24826489,-0.00506398058147855,-0.0282014808147087,CASE significant (all)
NC_035780.1_24888104,0.158946436366701,0.0844134263875042,CASE significant (all)
NC_035780.1_25165809,0.0790780141843972,0.0866148359476885,CASE significant (all)
NC_035780.1_25192127,0.0361102043122689,0.0530963476484898,CASE significant (all)
NC_035780.1_25202948,0.0248708727763649,-0.0323363245156042,CASE significant (all)
NC_035780.1_25203176,-0.00252799237495968,0.00160408929990824,CASE significant (all)
NC_035780.1_25301154,0.038370639237794,0.0272759439277884,CASE significant (all)
NC_035780.1_25934158,-0.0310736103989845,0.088772423307519,CASE significant (all)
NC_035780.1_25957311,0.0437641207323912,0.0291704012338918,CASE significant (all)
NC_035780.1_26063315,0.017395862861786,0.0496023997042711,CASE significant (all)
NC_035780.1_26236724,0.0211813528065815,0.0254689196113436,CASE significant (all)
NC_035780.1_26242761,0.0356266943743301,0.0658598240699771,CASE significant (all)
NC_035780.1_26242776,-0.0104100340616655,0.0291460266725154,CASE significant (all)
NC_035780.1_26242948,0.0341061762306465,0.00472615805629262,CASE significant (all)
NC_035780.1_26370867,0.172995759757798,0.186708511534488,CASE significant (all)
NC_035780.1_26393328,0.0197043425702583,0.0282198085618642,CASE significant (all)
NC_035780.1_26403392,-0.00952741066095205,0.00538608390960686,CASE significant (all)
NC_035780.1_26403406,-0.014271539431163,0.00640095877142642,CASE significant (all)
