snp,n_blk,I_l,I_raw,sign_consistent
NC_035780.1_242942,3,0.203300535980149,0.045136500431482,FALSE
NC_035780.1_416630,3,0.111510344131103,0.0257039180838642,FALSE
NC_035780.1_574241,3,0.824229103984111,0.0230269074513527,TRUE
NC_035780.1_648078,2,-0.826842616828414,-0.00638245693971569,FALSE
NC_035780.1_722952,3,0.194154308876544,0.034102691457225,FALSE
NC_035780.1_722997,3,0.376972069598001,0.0685697878002451,FALSE
NC_035780.1_904338,3,0.635466204680464,0.0359855491238683,FALSE
NC_035780.1_939001,2,0.379070521479786,0.0277133100492168,TRUE
NC_035780.1_2173819,2,-0.558920661727271,0.023187078744837,FALSE
NC_035780.1_2654159,2,1.59881693496645,0.0648752219277323,TRUE
NC_035780.1_2919366,3,-0.352241498299762,0.0185599217434593,FALSE
NC_035780.1_3673218,3,-0.318734058311292,0.0203634457610869,FALSE
NC_035780.1_6169102,3,0.210356196827701,0.025191092013174,FALSE
NC_035780.1_6169608,3,0.173189748169227,0.0242881184216318,TRUE
NC_035780.1_6373267,2,1.0954439809238,0.00480955962543976,FALSE
NC_035780.1_7037971,3,0.352594983551515,0.0891506408672511,FALSE
NC_035780.1_7037972,3,0.350733603973665,0.0850946737339065,FALSE
NC_035780.1_8051153,3,-0.0164334048592178,-0.020641140955026,FALSE
NC_035780.1_8059859,3,0.0733265392374168,-0.0290295578428551,FALSE
NC_035780.1_8087434,2,0.26389138093186,0.0302150758441129,FALSE
NC_035780.1_8090681,2,0.456607794347128,0.0884031051164051,TRUE
NC_035780.1_8154371,3,0.158428507729279,-0.00457166450579708,FALSE
NC_035780.1_8154410,3,0.567231558738952,0.0632706006103961,TRUE
NC_035780.1_8155168,2,-0.106726628668689,0.00177113567087137,FALSE
NC_035780.1_8155543,2,0.926574817940046,0.0330657858324773,TRUE
NC_035780.1_8219007,3,1.04219710876323,0.0170725495381598,TRUE
NC_035780.1_8549206,2,0.524863816358684,0.0625200411377922,FALSE
NC_035780.1_8699244,3,0.105892665718072,0.0179691938398771,FALSE
NC_035780.1_8742896,3,0.0548774398117929,0.0113958988511841,FALSE
NC_035780.1_8915880,2,-0.0950379749172877,0.0305174546370378,TRUE
NC_035780.1_9535980,3,0.000852989369703581,0.0103195666170752,FALSE
NC_035780.1_11145045,2,1.10232981087147,0.0621893029807354,TRUE
NC_035780.1_11153650,2,-0.708258608694172,-0.0187521108656118,FALSE
NC_035780.1_11456907,3,0.361207357352252,0.0266324745125614,FALSE
NC_035780.1_11460694,3,0.51297235031822,0.130170591009066,FALSE
NC_035780.1_11460721,3,0.290985034584064,0.0734984708227859,FALSE
NC_035780.1_11460778,3,0.388167420010327,0.0716698092525569,TRUE
NC_035780.1_11542240,3,-0.0942338413924741,0.0125841091836847,FALSE
NC_035780.1_13060561,3,-0.179677834177856,-0.020522843150784,TRUE
NC_035780.1_13164394,3,0.357855341124901,0.00190259799140276,FALSE
NC_035780.1_14433594,2,0.993549301044757,0.236415398170463,TRUE
NC_035780.1_14694387,2,0.99407058305206,0.0647267126849063,TRUE
NC_035780.1_14698791,3,0.232899041823595,0.0430124503862597,TRUE
NC_035780.1_14698999,3,-1.33650081971421,-0.00603426078132713,FALSE
NC_035780.1_15499443,2,0.998428302517752,0.0316866446500276,FALSE
NC_035780.1_15720403,3,-0.0176310939549548,0.0121803767347888,FALSE
NC_035780.1_16187099,3,0.549596393560911,0.030257291812533,TRUE
NC_035780.1_16504638,2,3.00778779700907,0.0419106764723824,TRUE
NC_035780.1_17658402,2,0.740224960169201,0.0266744301680181,FALSE
NC_035780.1_17667152,3,0.271065672588966,0.0579559655717723,FALSE
NC_035780.1_17667463,3,0.467494520405672,0.0288109701020357,TRUE
NC_035780.1_17667995,3,0.271112004007413,-0.00146514512836377,FALSE
NC_035780.1_17684340,3,1.07422315000379,0.0580279692611436,TRUE
NC_035780.1_18447492,2,0.953146432841713,0.168059197637196,TRUE
NC_035780.1_19319176,3,0.218560852321178,0.0517722505787425,FALSE
NC_035780.1_19376247,3,1.05979383745787,0.0473807374826484,FALSE
NC_035780.1_19595212,3,0.932832404171184,0.0165018623092251,FALSE
NC_035780.1_19671795,2,-0.0556551780439762,-0.0102383732346768,TRUE
NC_035780.1_19946760,3,-0.106347508799115,0.0055853295483416,FALSE
NC_035780.1_19976031,3,-0.225009605043665,-0.000184218077778447,FALSE
NC_035780.1_20636191,2,-0.53080667891931,0.0119444529301453,FALSE
NC_035780.1_20748489,3,0.00467320833115101,0.0120640189915638,FALSE
NC_035780.1_21952643,3,-0.909573674911535,0.00980571291880084,FALSE
